galaxy,field,TRGB,RGB AGB Ratio,Ratio Error,RGB AGB Ratio pm 1,# star below tip,Slope,Tip Color,Extinction,A606,A814
ngc0253,ngc0253-field07,23.502000000000237,4.4772727272727275,0.7465563944120804,10.981481481481481,593.0,1.2830503126563508,1.9508437500000002,0.009282472605063,0.0381595,0.0248329
ngc0253,ngc0253-field07,23.72200000000027,4.24,0.5442744405781579,8.25,759.0,2.044605927346095,1.561491803278689,0.009282472605063,0.0381595,0.0248329
ngc0253,ngc0253-field07,25.422000000000537,1.4304418985270049,0.07543226141061739,1.777268560953254,1939.0,4.646289324970335,0.947909420289855,0.009282472605063,0.0381595,0.0248329
ngc0253,ngc0253-field07,25.70200000000058,1.4830028328611897,0.07221996062486133,1.3523809523809525,1704.0,2.1850891941269692,0.9059805555555545,0.009282472605063,0.0381595,0.0248329
ngc0253,ngc0253-field07,26.042000000000634,1.0794341675734493,0.04942115746211256,0.6405269761606023,1021.0,6.038654033876272,0.8652798165137623,0.009282472605063,0.0381595,0.0248329
ngc0253,ngc0253-field08,23.700000000000365,5.073394495412844,0.5316818235388856,10.2421875,1311.0,2.1877954801650317,1.5877826086956517,0.007473483751599,0.0367885,0.0239407
ngc0253,ngc0253-field08,25.610000000000667,1.222052067381317,0.04559848170187561,1.1876978742650384,2626.0,3.476553383603874,0.9428263888888888,0.007473483751599,0.0367885,0.0239407
ngc0253,ngc0253-field09,23.69900000000031,5.134969325153374,0.3108610607099318,10.800518134715025,4169.0,1.6485672426301448,1.7644623287671228,0.0103416839328268,0.0367885,0.0239407
ngc0253,ngc0253-field10,23.722000000000342,4.882459312839059,0.2278957450737657,9.96206373292868,6565.0,1.6040818660751157,1.7735635673624286,0.0103480373856969,0.0367885,0.0239407
ngc0891,ngc0891-field01,25.902000000001017,3.8887362637362637,0.11426727270012779,6.257599175682638,12146.0,2.6117495132469597,1.5307446319018423,0.0111168908252377,0.127046,0.0826772
ngc0891,ngc0891-field02,25.87300000000087,5.224699828473414,0.2361867887651125,9.307692307692308,7018.0,2.3154834103608333,1.644598198198198,0.0123161984856137,0.1268175,0.0825285
ngc0891,ngc0891-field02,25.99300000000089,3.8519701810436633,0.14108073828224488,6.472198460222413,7566.0,2.5777637726690656,1.5644485219164121,0.0123161984856137,0.1268175,0.0825285
ngc0891,ngc0891-field04,25.920000000000982,4.585215605749487,0.22931653543282038,7.675632911392405,4851.0,2.212725960799838,1.6711351931330463,0.01216788337807,0.127503,0.0829746
ngc0891,ngc0891-field05,25.43900000000052,4.555555555555555,1.1857637476727496,15.6,390.0,2.446435836414629,1.5857777777777777,0.002738961546247,0.115164,0.0749448
ngc0891,ngc0891-field05,25.869000000000582,4.745762711864407,0.6798308168049945,8.68,651.0,2.925948284704858,1.4325833333333333,0.002738961546247,0.115164,0.0749448
ngc0891,ngc0891-field05,25.939000000000597,3.7560975609756095,0.466752747631174,6.73,673.0,3.0776340416344072,1.379186666666666,0.002738961546247,0.115164,0.0749448
ngc0891,ngc0891-field05,26.909000000000745,1.1955922865013775,0.08503820567463073,0.8936170212765957,588.0,2.4233265333705356,1.080417808219178,0.002738961546247,0.115164,0.0749448
ngc2403,ngc2403-field03,21.797000000000025,6.0,6.48074069840786,29.0,29.0,-4.415660877244577,1.2799999999999976,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,22.267000000000095,3.5,1.620185174601965,8.142857142857142,57.0,10.518934081346428,1.4009999999999998,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,22.60700000000015,5.0,1.9364916731037085,6.133333333333334,92.0,3.0529172320217053,1.3714444444444451,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,23.487000000000286,2.775,0.511752503657774,3.6944444444444446,266.0,4.523972218987506,1.154551724137931,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,23.867000000000345,1.6067415730337078,0.21693368881582695,2.8968253968253967,365.0,8.10873102899171,0.9859534883720931,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,24.307000000000414,1.65625,0.18539261679819197,2.3632075471698113,501.0,5.83741198209281,0.9174727272727272,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,24.60700000000046,1.7610062893081762,0.1748701124499155,2.221830985915493,631.0,9.531938831517074,0.8972875000000002,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,25.387000000000583,1.7619047619047619,0.12865358687078715,2.4808429118773945,1295.0,10.910143221882596,0.765114649681529,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,25.62700000000062,1.9772079772079771,0.12950221771899945,2.392744479495268,1517.0,6.477418101144889,0.7775699999999997,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,25.937000000000673,1.5,0.08333333333333333,1.4922894424673785,1258.0,7.427872742093347,0.7312226415094334,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,26.38700000000074,0.6962676962676962,0.03898744808627616,0.41776061776061774,541.0,13.010291284387812,0.673456824512535,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field04,22.031000000000063,2.6666666666666665,1.80534186769688,3.6666666666666665,11.0,-40.000000000002274,1.7379999999999995,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,22.45100000000013,0.5714285714285714,0.35816181173029066,1.6,16.0,-1.7277788443079265,0.6649999999999991,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,23.00100000000021,3.5,1.984313483298443,5.090909090909091,56.0,2.0734235882424747,1.5309999999999988,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,23.631000000000313,2.9375,0.8502354912757996,4.85,97.0,6.563228647917358,1.0684166666666661,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,24.321000000000417,1.7804878048780488,0.34748660715365504,2.232876712328767,163.0,6.96918073408707,1.0200999999999996,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,24.72100000000048,2.0,0.3429971702850177,2.2551020408163267,221.0,10.785241248817426,0.9019999999999999,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,25.061000000000533,1.3373493975903614,0.19406410594122508,2.1353383458646618,284.0,8.474045771439528,0.8633720930232561,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,25.441000000000592,1.5714285714285714,0.20305866063400407,2.13953488372093,368.0,6.781845521220112,0.833529411764706,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,25.781000000000645,1.7355371900826446,0.19808226290619277,1.798165137614679,392.0,4.643295132574948,0.7984754098360657,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,25.94100000000067,1.3896103896103895,0.14684180516344542,1.3095238095238095,330.0,5.771016671825931,0.7563908045977011,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,26.151000000000707,1.2582417582417582,0.12494865056118382,0.8114478114478114,241.0,7.517456265485362,0.7161348314606745,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,26.44100000000075,0.5420560747663551,0.06249788269151785,0.31521739130434784,116.0,9.71196148418691,0.686076923076923,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field05,22.274000000000157,2.6875,0.7870100162164392,5.36,134.0,3.74269005847953,1.3320000000000003,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,22.484000000000187,3.526315789473684,0.916550134631434,4.617647058823529,157.0,3.046226486939307,1.4838999999999998,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,22.67400000000022,3.76,0.8461111038155686,5.590909090909091,246.0,2.2484763614129903,1.5889999999999997,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,23.484000000000343,2.966666666666667,0.3615979624109532,4.1210191082802545,647.0,3.8101416703352164,1.1556250000000001,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,24.04400000000043,1.5278810408921932,0.11982486470169991,2.735294117647059,1023.0,5.408139204696628,1.0200367647058821,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,24.254000000000467,1.5844155844155845,0.11530293708532244,2.4176954732510287,1175.0,5.3969063661703025,0.9621153846153846,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,24.4840000000005,1.5394736842105263,0.10142994612029757,2.1823802163833075,1412.0,7.077874367913893,0.8931675675675678,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,24.91400000000057,1.4564007421150278,0.08146961672005391,2.142699115044248,1937.0,9.487679492170715,0.8441226765799259,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,25.20400000000061,1.538109756097561,0.07714307441193734,2.193232413178985,2463.0,8.013243332220355,0.7842403846153853,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field05,25.454000000000654,1.4637146371463714,0.06660059926948109,1.981844589687727,2729.0,5.192605089470068,0.7443424317617863,0.0260343368173493,0.078604,0.0511528
