galaxy,field,TRGB,RGB AGB Ratio,Ratio Error,RGB AGB Ratio pm 1,# star below tip,Slope,Tip Color,Extinction
ngc0253,ngc0253-field07,23.7250000000002,6.095238095238095,1.0147385956242716,12.901960784313726,658.0,3.3831141690511966,1.3698260869565224,0.009282472605063
ngc0253,ngc0253-field07,25.685000000000507,1.5223642172523961,0.07832060173993549,1.399822695035461,1579.0,4.219159716882565,0.9061806853582542,0.009282472605063
ngc0253,ngc0253-field08,23.65500000000018,8.902439024390244,1.466336563430472,19.98,999.0,4.254340304538677,1.3768333333333336,0.007473483751599
ngc0253,ngc0253-field09,23.70900000000031,8.463917525773196,0.9087309459076118,18.508333333333333,2221.0,3.80934545878493,1.3978709677419356,0.0103416839328268
ngc0253,ngc0253-field10,23.701000000000214,9.42156862745098,0.9811334183484892,21.503875968992247,2774.0,3.597280734914193,1.4230708661417328,0.0103480373856969
ngc0891,ngc0891-field01,25.86700000000095,5.007237635705669,0.19048432454252226,9.060861423220974,9677.0,4.000260358667365,1.4051200480192103,0.0111168908252377
ngc0891,ngc0891-field02,25.893000000000875,5.9267015706806285,0.267665536778064,11.522535211267606,8181.0,3.6817692644971944,1.4714701986754959,0.0123161984856137
ngc0891,ngc0891-field04,25.895000000000927,6.711864406779661,0.46832277467437894,12.172523961661343,3810.0,3.7502807315530835,1.485977186311788,0.01216788337807
ngc0891,ngc0891-field05,25.842000000000567,7.466666666666667,1.4516401962122911,14.289473684210526,543.0,3.106789261277012,1.4047272727272726,0.002738961546247
ngc2403,ngc2403-field03,22.264000000000067,4.5,2.4874685927665503,14.5,58.0,1.8677624206200976,1.6950000000000003,0.0187460933483142
ngc2403,ngc2403-field03,22.614000000000118,7.166666666666667,3.1232402452628634,9.8,98.0,3.100975515214159,1.4302500000000005,0.0187460933483142
ngc2403,ngc2403-field03,23.45400000000025,2.871794871794872,0.5339499798301046,4.126760563380282,293.0,6.059096718399795,1.1113703703703703,0.0187460933483142
